District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),Departure (%)
H,Narona,766.6,953.1,24
H,Nimbarga Tanda,761.8,839.1,10
T,Chincholi,913.2,852.6,-7
H,Chincholi,913.2,971.2,6
H,Ainapur,783.4,832,6
H,Sulepet,873.9,737.3,-16
H,Kodli Chincholi,896.8,735.5,-18
T,CHITTAPUR,771.2,886.3,15
H,Chittapur,771.2,926.6,20
H,Gundgurti,776.5,833.1,7
H,Nalavara,791.2,879.5,11
T,Kalaburagi,794,787.5,-1
H,Kalaburagi,794,829.7,4
H,Aurad,777.5,827.2,6
H,Farhatabad,779.2,751.8,-4
H,Pattan,772.7,760.4,-2
T,Jevargi,804.9,688.3,-14
H,Jewargi,804.9,688.1,-15
H,Andola,792.1,701.1,-11
H,Nelogi,752.9,676.6,-10
T,Sedam,790.8,988.7,25
H,Sedam,790.8,944,19
H,Adki,807,992.1,23
H,Kodla,799.5,972,22
H,Mudhol,806.9,1060.4,31
T,Kalagi,765.5,834.2,9
H,Kalagi,765.5,874.7,14
H,Kodli,774.2,767,-1
H,Gundgurti,772.8,855.7,11
T,Kamalapura,762,926.2,22
H,Kamalapur,762,857.1,12
H,Mahagaon Tanda,772.1,937.1,21
H,Narona,770.2,1108.1,44
H,Ainapur,779.7,676,-13
T,Yadrami,686.5,677.3,-1
H,Yadrami,686.5,657.7,-4
H,Ijeri,750,708.5,-6
T,Shahbadha,758.4,837.3,10
H,Shahabad,758.4,837.3,10
D,BIDAR,838.1,838.7,0
T,Aurad,854.8,643.6,-25
H,Aurad,854.8,653.3,-24
H,Chintaki,873,560.8,-36
H,Santpur,875,692.9,-21
T,Bidar,939.8,837.9,-11
H,Bidar,939.8,768.6,-18
H,Bagadhal,843.1,811.9,-4
H,Bidar South,935.1,873.6,-7
H,Janwada,909.4,868.5,-4
H,Kamthana,906.5,826.4,-9
H,Manalli,890.2,890.9,0
T,Bhalki,874.1,866.8,-1
H,Bhalki,874.1,879.4,1
H,Halburga,875.4,857.6,-2
H,Khatak Chincholi,833.2,940.7,13
H,Lakangaon,877.3,847.1,-3
H,Nittur Buzurg,873.5,847.7,-3
H,Saigaon,769.2,845.5,10
T,Basavakalyan,790.3,941.5,19
H,Basavakalyan,790.3,949.3,20
H,Kohinoor,774.8,954.5,23
H,Matala,786.9,985.4,25
H,Mudabi,778.9,928.6,19
H,Rajeshwar,813.4,890.1,9
T,Humnabad,834.2,961.6,15
H,Humnabad,834.2,995.9,19
H,Dubalgundi,822.4,938,14
H,Hallikheda,827,940,14
T,Chittaguppa,759.4,952.2,25
H,Chitguppa,759.4,886.2,17
H,Bhimalkhed,838.3,1012.9,21
H,Nirna,794.1,980.6,23
T,Kamalanagara,902.4,716.3,-21
H,Kamalnagar,902.4,613.4,-32
H,Dabaka C.,877.7,866.8,-1
H,Thanakushanur,873.4,739.2,-15
T,Hulasuru,739.3,625,-15
H,Hulsoor,739.3,625,-15
D,BELAGAVI,826.2,1165,41
T,Athani,539,642.4,19
H,Athani,539,618.2,15
H,Anantapur,516.9,649.4,26
H,Telsang,507.3,656.4,29
T,Bailhongal,816,1038.1,27
H,Bailhongal,816,979.2,20
H,Nesargi,770.7,1086.2,41
T,Belagavi,1363.1,1673.2,23
H,Belagavi,1363.1,1776.7,30
H,Hirebagevadi,1041.3,1338.5,29
H,Kakti,1130.5,1322,17
H,Uchagaon,1340.9,2302.3,72
T,Chikkodi,666,873.4,31
H,Chikkodi,666,928.2,39
H,Nagaramonnali,634.1,807.3,27
H,Sadalgi,663.4,854.2,29
T,Gokak,524.1,707.3,35
H,Gokak,524.1,755.6,44
H,Kowjalgi,537,712.1,33
H,Arbhavi,560.4,569.2,2
T,Hukkeri,648.6,1015.1,57
H,Hukkeri,648.6,781.5,20
H,Sankeswar,812.1,1184,46
H,Yamkanmardi,685.2,1081.5,58
T,Khanapur,1950.2,3018.9,55
H,Khanapur,1950.2,1977.9,1
H,Bidi,1413.4,1755.9,24
H,Gunji,2263.3,3371.4,49
H,Jamboti,1856.1,3825.7,106
T,RAMADURGA,540.4,707.7,31
H,Ramdurg,540.4,665.8,23
H,Bidki,534,685.7,28
H,Katkol,535.6,762.4,42
H,Mudkavi,542.5,700.7,29
T,Raibagh,483.1,614.1,27
H,Raibagh,483.1,610.5,26
H,Kudchi,528.9,617.6,17
T,Soundatti,568,848.1,49
H,Savadatti,568,905.1,59
H,Manoli,562,809.9,44
H,Muragoda,607.1,822.5,35
T,Kitthuru,1035.5,1387.8,34
H,Kittur,1035.5,1375.1,33
T,Nippani,838.1,1128.7,35
H,Nippani,838.1,1239.4,48
H,Sadalgi,766.8,987.8,29
T,Kagavada,540.7,882.2,63
H,Kagwad,540.7,882.2,63
T,Mudagali,533.5,637.4,19
H,Arbhavi,533.5,674.7,26
H,Kowjalgi,528.5,602.1,14
H,Yargatti,532.8,735.6,38
T,Yargatti,532.8,735.6,38
D,BAGALKOTE,582.4,602.9,4
T,Badami,599.5,599.5,0
H,Badami,599.5,557,-7
H,Kerur,569.7,615.1,8
H,Kulgeri,582.5,625.8,7
T,Bagalkote,612.6,571.6,-7
H,Bagalkote,612.6,548.2,-11
H,Kaladgi,548.1,518.8,-5
H,Rampura,611.7,642.6,5
T,Bilgi,609.5,495.3,-19
H,Bilgi,609.5,508.7,-17
H,Anagvadi,598.7,480.2,-20
T,Hungund,669.5,634.7,-5
H,Hungund,669.5,587.4,-12
H,Amingarh,632.6,696.3,10
H,Karadi,652.2,663.8,2
T,Jamkhandi,548.3,704.4,28
H,Jamakhandi,548.3,665.9,21
H,Savalagi,529.7,726.1,37
H,Terdal,542.8,793,46
T,Mudhol,532,547.6,3
H,Mudhol,532,529.4,0
H,Lokapur,472.5,566.1,20
T,Guledagudda,606.8,650.4,7
H,Guledagudda,606.8,650.4,7
